# Output Voltage [V], Measured Voltage [V], Measured Voltage Std [V], Frequency [MHz]
4.000000,4.000176,0.000043,146.965500
3.974843,3.974572,0.000024,160.163600
3.949686,3.948774,0.000036,159.922800
3.924528,3.924297,0.000024,159.730000
3.899371,3.898671,0.000035,159.637300
3.874214,3.873072,0.000034,159.387100
3.849057,3.848640,0.000047,159.150000
3.823899,3.823033,0.000027,158.931300
3.798742,3.798653,0.000031,158.738800
3.773585,3.772993,0.000023,158.618900
3.748428,3.747334,0.000031,158.364300
3.723270,3.722971,0.000043,158.141400
3.698113,3.697306,0.000019,157.938900
3.672956,3.672906,0.000033,157.839800
3.647799,3.647284,0.000035,157.598600
3.622642,3.622014,0.000024,157.351800
3.597484,3.597559,0.000038,157.147300
3.572327,3.571928,0.000038,156.944500
3.547170,3.547494,0.000033,156.825700
3.522013,3.521776,0.000034,156.575700
3.496855,3.496148,0.000038,156.344500
3.471698,3.471743,0.000034,156.150900
3.446541,3.446043,0.000038,156.041200
3.421384,3.420446,0.000019,155.787300
3.396226,3.396054,0.000000,155.550600
3.371069,3.370331,0.000030,155.346400
3.345912,3.345921,0.000042,155.250600
3.320755,3.320293,0.000023,154.999700
3.295597,3.294361,0.000039,154.750900
3.270440,3.269936,0.000019,154.550700
3.245283,3.244352,0.000030,154.471100
3.220126,3.219917,0.000037,154.219200
3.194969,3.194272,0.000038,153.970300
3.169811,3.168670,0.000020,153.745800
3.144654,3.102149,0.032670,153.554100
3.119497,3.118585,0.000039,153.399200
3.094340,3.094187,0.000035,153.192600
3.069182,3.068524,0.000038,152.950400
3.044025,3.042854,0.000026,152.746800
3.018868,3.018488,0.000029,152.657400
2.993711,2.992806,0.000039,152.408500
2.968553,2.967172,0.000037,152.159900
2.943396,2.942826,0.000044,151.952800
2.918239,2.917190,0.000037,151.751900
2.893082,2.892760,0.000040,151.628800
2.867925,2.867169,0.000023,151.378400
2.842767,2.841523,0.000024,151.150700
2.817610,2.817071,0.000040,150.957100
2.792453,2.791458,0.000038,150.848100
2.767296,2.767035,0.000031,150.602800
2.742138,2.741362,0.000023,150.359200
2.716981,2.715761,0.000039,150.157300
2.691824,2.691336,0.000019,150.074700
2.666667,2.665429,0.000031,149.833600
2.641509,2.641002,0.000037,149.592400
2.616352,2.615339,0.000029,149.368300
2.591195,2.589634,0.000040,149.166100
2.566038,2.565219,0.000026,149.057800
2.540881,2.539593,0.000039,148.812100
2.515723,2.513900,0.000023,148.570900
2.490566,2.489431,0.000026,148.378800
2.465409,2.463726,0.000031,148.279400
2.440252,2.439274,0.000038,148.039300
2.415094,2.413631,0.000039,147.794100
2.389937,2.387911,0.000039,147.582500
2.364780,2.363464,0.000029,147.390700
2.339623,2.339947,0.000026,147.258100
2.314465,2.315453,0.000039,147.015200
2.289308,2.289857,0.000038,146.796800
2.264151,2.264275,0.000023,146.596300
2.238994,2.239796,0.000027,146.481400
2.213836,2.214150,0.000020,146.237900
2.188679,2.189777,0.000037,146.012300
2.163522,2.164067,0.000039,145.811100
2.138365,2.138436,0.000037,145.718800
2.113208,2.114014,0.000039,145.478200
2.088050,2.088376,0.000039,145.235900
2.062893,2.062764,0.000023,145.016900
2.037736,2.038391,0.000036,144.825700
2.012579,2.012501,0.000027,144.704000
1.987421,1.988126,0.000033,144.465100
1.962264,1.962404,0.000037,144.232500
1.937107,1.936741,0.000035,144.031500
1.911950,1.912343,0.000031,143.939200
1.886792,1.886660,0.000038,143.697100
1.861635,1.862216,0.000023,143.460600
1.836478,1.836555,0.000038,143.247500
1.811321,1.810887,0.000039,143.047000
1.786164,1.786482,0.000037,142.936200
1.761006,1.760814,0.000033,142.696400
1.735849,1.736347,0.000033,142.465500
1.710692,1.710756,0.000026,142.265600
1.685535,1.685122,0.000023,142.171300
1.660377,1.660638,0.000026,141.931800
1.635220,1.634995,0.000014,141.686000
1.610063,1.610531,0.000028,141.485600
1.584906,1.584893,0.000029,141.286700
1.559748,1.559274,0.000039,141.162200
1.534591,1.534820,0.000035,140.924900
1.509434,1.509157,0.000039,140.700200
1.484277,1.483558,0.000033,140.502100
1.459119,1.459079,0.000019,140.406700
1.433962,1.433406,0.000038,140.170700
1.408805,1.408961,0.000034,139.934700
1.383648,1.383384,0.000020,139.729400
1.358491,1.357549,0.000042,139.533100
1.333333,1.333158,0.000038,139.411200
1.308176,1.307542,0.000019,139.173600
1.283019,1.283167,0.000033,138.960600
1.257862,1.257519,0.000040,138.764000
1.232704,1.231875,0.000042,138.663300
1.207547,1.207483,0.000035,138.428000
1.182390,1.181807,0.000024,138.185400
1.157233,1.157412,0.000033,137.997900
1.132075,1.131781,0.000033,137.912100
1.106918,1.106135,0.000031,137.674500
1.081761,1.081730,0.000024,137.439400
1.056604,1.056089,0.000036,137.224700
1.031447,1.030759,0.000040,137.029100
1.006289,1.006342,0.000033,136.923800
0.981132,0.980691,0.000033,136.688000
0.955975,0.956296,0.000042,136.462700
0.930818,0.930673,0.000014,136.268300
0.905660,0.905029,0.000026,136.174300
0.880503,0.880627,0.000027,135.940200
0.855346,0.855008,0.000042,135.701600
0.830189,0.830509,0.000027,135.509300
0.805031,0.804910,0.000039,135.315400
0.779874,0.779319,0.000037,135.201000
0.754717,0.754837,0.000035,134.967200
0.729560,0.729009,0.000030,134.743700
0.704403,0.704616,0.000035,134.559900
0.679245,0.678911,0.000035,134.466200
0.654088,0.653293,0.000039,134.230700
0.628931,0.628870,0.000026,134.006700
0.603774,0.603281,0.000036,133.798600
0.578616,0.577687,0.000038,133.606700
0.553459,0.553309,0.000039,133.508700
0.528302,0.527654,0.000037,133.277200
0.503145,0.503251,0.000039,133.050500
0.477987,0.477613,0.000037,132.859400
0.452830,0.451984,0.000027,132.668800
0.427673,0.427577,0.000037,132.559300
0.402516,0.401968,0.000033,132.327300
0.377358,0.377526,0.000039,132.116200
0.352201,0.351915,0.000014,131.926500
0.327044,0.326294,0.000039,131.828200
0.301887,0.301871,0.000024,131.603200
0.276730,0.276233,0.000026,131.369700
0.251572,0.251806,0.000038,131.188500
0.226415,0.226165,0.000034,131.110900
0.201258,0.200499,0.000039,130.879900
0.176101,0.176114,0.000039,130.658800
0.150943,0.150510,0.000031,130.445800
0.125786,0.124800,0.000039,130.257900
0.100629,0.100356,0.000041,130.164800
0.075472,0.074537,0.000039,129.934200
0.050314,0.050083,0.000034,129.714500
0.025157,0.024361,0.000035,129.527400
0.000000,0.002309,0.000039,129.461300
